1631073604,41.856,73.856
1631073904,40.78,72.78
1631074204,41.318,73.318
1631074504,41.318,73.318
1631074804,42.394,74.394
1631075104,41.856,73.856
1631075404,40.78,72.78
1631075704,41.318,73.318
1631076004,41.318,73.318
1631076304,41.318,73.318
1631076604,40.78,72.78
1631076903,40.78,72.78
1631077203,40.78,72.78
1631077503,41.856,73.856
1631077803,40.78,72.78
1631078103,41.318,73.318
1631078403,40.78,72.78
1631078704,40.78,72.78
1631079004,41.318,73.318
1631079304,40.78,72.78
1631079604,40.78,72.78
1631079904,40.78,72.78
1631080204,40.78,72.78
1631080504,40.78,72.78
1631080804,40.78,72.78
1631081104,40.78,72.78
1631081404,40.78,72.78
1631081704,40.78,72.78
1631082003,40.78,72.78
1631082303,40.78,72.78
1631082603,40.242,72.242
1631082903,39.704,71.704
1631083203,40.78,72.78
1631083503,40.78,72.78
1631083803,40.78,72.78
1631084104,40.242,72.242
1631084404,40.78,72.78
1631084704,40.242,72.242
1631085004,39.704,71.704
1631085304,39.704,71.704
1631085604,39.704,71.704
1631085904,39.704,71.704
1631086203,40.78,72.78
1631086503,39.704,71.704
1631086803,40.78,72.78
1631087103,39.704,71.704
1631087403,39.704,71.704
1631087703,40.242,72.242
1631088003,39.704,71.704
1631088303,39.704,71.704
1631088603,39.704,71.704
1631088903,39.704,71.704
1631089203,39.704,71.704
1631089503,39.704,71.704
1631089803,40.242,72.242
1631090104,39.704,71.704
1631090404,39.704,71.704
1631090704,39.704,71.704
1631091004,39.704,71.704
1631091304,39.704,71.704
1631091604,39.704,71.704
1631091904,39.704,71.704
1631092204,40.78,72.78
1631092503,40.242,72.242
1631092803,39.704,71.704
1631093103,40.242,72.242
1631093403,39.704,71.704
1631093703,40.242,72.242
1631094003,40.242,72.242
1631094303,40.242,72.242
1631094603,39.704,71.704
1631094903,39.704,71.704
1631095203,39.704,71.704
1631095503,39.704,71.704
1631095804,39.704,71.704
1631096104,39.704,71.704
1631096404,40.242,72.242
1631096704,39.704,71.704
1631097004,39.704,71.704
1631097304,40.242,72.242
1631097604,39.704,71.704
1631097904,39.704,71.704
1631098204,39.704,71.704
1631098504,39.704,71.704
1631098804,40.242,72.242
1631099104,39.704,71.704
1631099404,39.704,71.704
1631099703,40.242,72.242
1631100003,39.704,71.704
1631100303,40.78,72.78
1631100603,40.242,72.242
1631100903,40.78,72.78
1631101203,41.318,73.318
1631101503,40.78,72.78
1631101803,41.318,73.318
1631102103,42.394,74.394
1631102403,41.856,73.856
1631102703,42.932,74.932
1631103003,42.394,74.394
1631103303,42.932,74.932
1631103604,44.007,76.007
1631103904,43.47,75.47
1631104204,44.007,76.007
1631104504,43.47,75.47
1631104804,43.47,75.47
1631105104,43.47,75.47
1631105404,44.546,76.546
1631105704,44.007,76.007
1631106004,44.546,76.546
1631106303,44.007,76.007
1631106603,45.084,77.084
1631106904,45.084,77.084
1631107203,45.084,77.084
1631107503,45.084,77.084
1631107804,45.084,77.084
1631108103,45.084,77.084
1631108403,45.084,77.084
1631108703,46.16,78.16
1631109003,46.16,78.16
1631109303,47.236,79.236
1631109604,47.236,79.236
1631109903,46.16,78.16
1631110203,46.16,78.16
1631110503,46.16,78.16
1631110803,47.236,79.236
1631111103,47.236,79.236
1631111403,47.774,79.774
1631111703,47.774,79.774
1631112004,48.312,80.312
1631112304,48.85,80.85
1631112604,48.312,80.312
1631112903,49.388,81.388
1631113204,49.388,81.388
1631113503,47.774,79.774
1631113803,49.388,81.388
1631114104,49.925,81.925
1631114404,50.464,82.464
1631114704,48.85,80.85
1631115003,49.388,81.388
1631115304,48.85,80.85
1631115603,49.388,81.388
1631115903,49.388,81.388
1631116203,50.464,82.464
1631116504,50.464,82.464
1631116803,51.002,83.002
1631117104,51.54,83.54
1631117403,52.078,84.078
1631117703,52.615,84.615
1631118003,52.615,84.615
1631118303,53.154,85.154
1631118603,52.615,84.615
1631118903,53.692,85.692
1631119204,53.692,85.692
1631119503,53.154,85.154
1631119803,54.23,86.23
1631120103,55.843,87.843
1631120404,54.768,86.768
1631120703,55.843,87.843
1631121003,54.768,86.768
1631121304,54.768,86.768
1631121604,54.23,86.23
1631121904,54.768,86.768
1631122204,55.306,87.306
1631122504,55.843,87.843
1631122803,54.768,86.768
1631123103,55.843,87.843
1631123403,55.843,87.843
1631123704,55.306,87.306
1631124004,54.23,86.23
1631124303,54.768,86.768
1631124604,55.306,87.306
1631124904,55.843,87.843
1631125203,56.382,88.382
1631125504,56.92,88.92
1631125804,56.92,88.92
1631126103,59.61,91.61
1631126404,56.92,88.92
1631126703,57.996,89.996
1631127003,60.148,92.148
1631127304,64.99,96.99
1631127604,62.838,94.838
1631127903,58.533,90.533
1631128204,57.996,89.996
1631128503,61.761,93.761
1631128803,64.451,96.451
1631129103,62.838,94.838
1631129403,60.686,92.686
1631129703,61.224,93.224
1631130004,60.148,92.148
1631130303,57.996,89.996
1631130604,59.072,91.072
1631130903,62.3,94.3
1631131203,59.072,91.072
1631131503,56.92,88.92
1631131803,55.843,87.843
1631132104,53.692,85.692
1631132404,53.154,85.154
1631132703,52.615,84.615
1631133003,51.54,83.54
1631133304,51.54,83.54
1631133604,50.464,82.464
1631133904,51.002,83.002
1631134204,50.464,82.464
1631134504,50.464,82.464
1631134803,50.464,82.464
1631135103,49.388,81.388
1631135403,49.388,81.388
1631135703,49.388,81.388
1631136003,48.312,80.312
1631136303,49.388,81.388
1631136603,50.464,82.464
1631136904,51.54,83.54
1631137204,50.464,82.464
1631137504,50.464,82.464
1631137804,49.925,81.925
